sourceId,extent,sourceOriginName,boundingBox,sizeInBytes,bestFitIndex,format,downloadURL,previewGraphicURL,prettyFileSize,datasets,title,sourceOriginId,lastUpdated,dateCreated,metaUrl,sourceName,publicationDate
581d2303e4b08da350d55d34,1 x 1 degree,gda,"{minY:54.9966666663345,minX:-134.003333333666,maxY:56.0033333332677,maxX:-132.996666666733}",4468153,0.0,ArcGrid,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/2/ArcGrid/USGS_NED_2_n56w134_ArcGrid.zip,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/2/ArcGrid/USGS_NED_2_n56w134_ArcGrid_thumb.jpg,4.26 MB,"[National Elevation Dataset (NED) Alaska 2 arc-second,National Elevation Dataset (NED)]",USGS NED 2 arc-second n56w134 1 x 1 degree ArcGrid 2016,8215691,2016-11-12,2016-11-04,https://www.sciencebase.gov/catalog/item/581d2303e4b08da350d55d34,ScienceBase,2016-06-21
581d2303e4b08da350d55d3d,1 x 1 degree,gda,"{minY:55.996666667034,minX:-131.003333333366,maxY:57.0033333339671,maxX:-129.996666666433}",11282203,0.0,ArcGrid,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/2/ArcGrid/USGS_NED_2_n57w131_ArcGrid.zip,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/2/ArcGrid/USGS_NED_2_n57w131_ArcGrid_thumb.jpg,10.76 MB,"[National Elevation Dataset (NED) Alaska 2 arc-second,National Elevation Dataset (NED)]",USGS NED 2 arc-second n57w131 1 x 1 degree ArcGrid 2016,8213808,2016-11-12,2016-11-04,https://www.sciencebase.gov/catalog/item/581d2303e4b08da350d55d3d,ScienceBase,2016-06-10
581d2304e4b08da350d55d4f,1 x 1 degree,gda,"{minY:55.996666667034,minX:-135.003333333466,maxY:57.0033333339671,maxX:-133.996666666533}",5429174,0.0,ArcGrid,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/2/ArcGrid/USGS_NED_2_n57w135_ArcGrid.zip,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/2/ArcGrid/USGS_NED_2_n57w135_ArcGrid_thumb.jpg,5.18 MB,"[National Elevation Dataset (NED) Alaska 2 arc-second,National Elevation Dataset (NED)]",USGS NED 2 arc-second n57w135 1 x 1 degree ArcGrid 2016,8142675,2016-11-12,2016-11-04,https://www.sciencebase.gov/catalog/item/581d2304e4b08da350d55d4f,ScienceBase,2016-06-09
581d2305e4b08da350d55d94,1 x 1 degree,gda,"{minY:58.9966666664345,minX:-137.003333333966,maxY:60.0033333333676,maxX:-135.996666667033}",11402705,0.0,ArcGrid,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/2/ArcGrid/USGS_NED_2_n60w137_ArcGrid.zip,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/2/ArcGrid/USGS_NED_2_n60w137_ArcGrid_thumb.jpg,10.87 MB,"[National Elevation Dataset (NED) Alaska 2 arc-second,National Elevation Dataset (NED)]",USGS NED 2 arc-second n60w137 1 x 1 degree ArcGrid 2016,8082567,2016-11-12,2016-11-04,https://www.sciencebase.gov/catalog/item/581d2305e4b08da350d55d94,ScienceBase,2016-04-15
581d2307e4b08da350d55df1,1 x 1 degree,gda,"{minY:59.996666665696,minX:-148.003333333566,maxY:61.003333333168,maxX:-146.996666666094}",3562596,0.0,ArcGrid,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/2/ArcGrid/USGS_NED_2_n61w148_ArcGrid.zip,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/2/ArcGrid/USGS_NED_2_n61w148_ArcGrid_thumb.jpg,3.40 MB,"[National Elevation Dataset (NED) Alaska 2 arc-second,National Elevation Dataset (NED)]",USGS NED 2 arc-second n61w148 1 x 1 degree ArcGrid 2015,7223690,2016-11-12,2016-11-04,https://www.sciencebase.gov/catalog/item/581d2307e4b08da350d55df1,ScienceBase,2015-08-01
581d230fe4b08da350d55eef,1 x 1 degree,gda,"{minY:60.9966666669341,minX:-145.003333333266,maxY:62.0033333338672,maxX:-143.996666666333}",11327914,0.0,ArcGrid,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/2/ArcGrid/USGS_NED_2_n62w145_ArcGrid.zip,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/2/ArcGrid/USGS_NED_2_n62w145_ArcGrid_thumb.jpg,10.80 MB,"[National Elevation Dataset (NED) Alaska 2 arc-second,National Elevation Dataset (NED)]",USGS NED 2 arc-second n62w145 1 x 1 degree ArcGrid 2015,7778429,2016-11-12,2016-11-04,https://www.sciencebase.gov/catalog/item/581d230fe4b08da350d55eef,ScienceBase,2015-12-26
581d2310e4b08da350d55ef6,1 x 1 degree,gda,"{minY:60.996666666395,minX:-146.003333333966,maxY:62.003333333867,maxX:-144.996666666494}",11076422,0.0,ArcGrid,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/2/ArcGrid/USGS_NED_2_n62w146_ArcGrid.zip,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/2/ArcGrid/USGS_NED_2_n62w146_ArcGrid_thumb.jpg,10.56 MB,"[National Elevation Dataset (NED) Alaska 2 arc-second,National Elevation Dataset (NED)]",USGS NED 2 arc-second n62w146 1 x 1 degree ArcGrid 2015,7778453,2016-11-12,2016-11-04,https://www.sciencebase.gov/catalog/item/581d2310e4b08da350d55ef6,ScienceBase,2015-12-23
581d2314e4b08da350d55f96,1 x 1 degree,gda,"{minY:63.9966666663345,minX:-154.003333333266,maxY:65.0033333332677,maxX:-152.996666666333}",10965456,0.0,ArcGrid,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/2/ArcGrid/USGS_NED_2_n65w154_ArcGrid.zip,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/2/ArcGrid/USGS_NED_2_n65w154_ArcGrid_thumb.jpg,10.46 MB,"[National Elevation Dataset (NED) Alaska 2 arc-second,National Elevation Dataset (NED)]",USGS NED 2 arc-second n65w154 1 x 1 degree ArcGrid 2016,8529102,2016-11-12,2016-11-04,https://www.sciencebase.gov/catalog/item/581d2314e4b08da350d55f96,ScienceBase,2016-09-16
581d2318e4b08da350d55fba,1 x 1 degree,gda,"{minY:64.996666667034,minX:-147.003333333766,maxY:66.0033333339671,maxX:-145.996666666833}",11348869,0.0,ArcGrid,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/2/ArcGrid/USGS_NED_2_n66w147_ArcGrid.zip,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/2/ArcGrid/USGS_NED_2_n66w147_ArcGrid_thumb.jpg,10.82 MB,"[National Elevation Dataset (NED) Alaska 2 arc-second,National Elevation Dataset (NED)]",USGS NED 2 arc-second n66w147 1 x 1 degree ArcGrid 2015,7779313,2016-11-12,2016-11-04,https://www.sciencebase.gov/catalog/item/581d2318e4b08da350d55fba,ScienceBase,2015-12-31
581d2318e4b08da350d55fc4,1 x 1 degree,gda,"{minY:64.996666667034,minX:-148.003333333566,maxY:66.0033333339671,maxX:-146.996666666633}",11417270,0.0,ArcGrid,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/2/ArcGrid/USGS_NED_2_n66w148_ArcGrid.zip,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/2/ArcGrid/USGS_NED_2_n66w148_ArcGrid_thumb.jpg,10.89 MB,"[National Elevation Dataset (NED) Alaska 2 arc-second,National Elevation Dataset (NED)]",USGS NED 2 arc-second n66w148 1 x 1 degree ArcGrid 2016,7779373,2016-11-12,2016-11-04,https://www.sciencebase.gov/catalog/item/581d2318e4b08da350d55fc4,ScienceBase,2016-01-05
